240*40,Commodity,,,S&P500 (US),,,,,,,,,,,,,Mexican Bolsa (Mexico),,,Brazil Bovespa (Brazil),,,FTSE 100 (UK),,,DAX (Germany) ,,,CAC 40 (France),,,Nikkei (Japan),,,Hang Seng (Hongkong),,,Shanghai Composite,,,,
,GOLD,CRUDE OIL,CORN,3M,APPLE,COF,SCHW,COCA COLA,BAC,CSX,DTE,EXELON,NUE,TXT,DIS,XEL,GRUPO MEXICO 'B',AFLAA,FEMSAUBD,USIM5.SA,BBAS3.SA,TRPL4.SA,TESCO,BP,BT GROUP,BMW,ALLIANZ,SIEMENS,TELEPERFORMANCE,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,LVMH,SONY GROUP,TOYOTA MOTOR,FUJITA ENGINEERING,HSBC HOLDINGS,CK HUTCHISON HOLDINGS,HANG SENG BANK,Shanghai Airport,SPDB,HISENSE,,
03/10/2001,1.063402156,0.779699248,0.925373134,0.956676273,0.807669082,0.872325121,0.894863563,0.941031436,0.975447154,0.908879457,1.036036036,0.823992674,0.914814815,0.682763886,0.782933935,1.056569343,0.723163842,0.554347826,0.82347973,0.671875,0.776666667,0.619631902,0.994255515,0.934819897,0.82016399,0.844192635,0.810891467,0.759191911,0.862150675,0.981288782,0.637833961,0.786561265,0.901960784,0.958333333,0.878784612,0.85663979,0.931232092,0.995652174,0.995689655,1.004926108,,
03/11/2001,0.963230241,0.943587271,0.967741935,1.086454463,1.239626168,0.907854051,1.195515695,1.067248908,1.014669112,1.069751368,0.905239688,0.919315403,0.954790823,0.947721554,0.947763587,0.987219344,0.8125,1.235294118,0.988717949,1,1.111587983,1.396039604,0.94807796,1.01559633,0.994158835,1.147651007,1.084659008,1.307498477,1.016484898,0.992770575,1.178835303,1.201005025,0.944099379,1.030434783,1.087781942,1.081620503,0.969230769,0.951965066,1.051948052,1.053921569,,
03/12/2001,0.986978238,0.997956055,1.1,1.052402957,1.133594692,1.102406903,1.03975994,0.951923077,1.009199934,1.066635235,1.019458128,1.073500967,1.128621908,1.156342183,1.058294977,0.962211337,0.951923077,1.222222222,1.089211618,1.523255814,1.243243243,1.092198582,0.973632892,0.933152665,1.03950887,1.070175439,0.978610729,1.222219869,1.185405928,1.043708323,1.115044819,1.194560669,1.029605263,0.970464135,1.074922321,1.139625708,1.06031746,1.016819572,1.041152263,1.034883721,,
03/01/2002,1.001988072,1.029185868,0.984848485,1.025292,1.120244746,1.09907312,1.215728716,1.006877283,1.023766889,1.021839137,1.018120319,1.09009009,1.08495095,1.070153061,1.107660687,1.030545455,0.868686869,1.103896104,1.068571429,1.160305344,1.136645963,1.116883117,1.046860004,1.035818006,0.94384058,1.110655738,1.03335943,1.177276823,1.128593753,1.005709655,1.092063979,1.049036778,1.060702875,0.97826087,0.986596112,1.059614987,1.023952096,0.969924812,0.940711462,0.907865169,,
03/02/2002,1.024531025,1.039800995,0.979487179,0.970192719,1.035146046,0.907233883,0.842136499,0.953681964,0.975671808,1.059807424,0.974371144,1.035743802,1.10042324,1.06102503,1.014918056,0.932604093,1.662790698,1.282352941,1.108734403,1.019736842,0.827868852,1.005813953,0.961216518,1.035514019,0.905950096,1.040590406,0.959183758,0.889318988,1.070703379,1,0.98006594,0.969949917,1.051204819,0.933333333,0.951090424,0.924985349,0.99122807,1.007751938,0.894957983,0.79950495,,
03/03/2002,1.047183099,1.033971292,1,1.062240664,0.960541409,1.045032018,0.96546864,1.083482543,1.056062581,0.977067271,1.027520701,1.007779773,1.011538462,1.087845428,1.068595806,0.915626182,0.874125874,0.926605505,0.983118971,1.129032258,1.184818482,1.132947977,1.034128136,1.064079422,1.139830508,1.033096927,1.003866885,0.997103752,0.943395544,1.05425793,1.149365625,1.079173838,0.988538682,1.057142857,0.977132139,0.878399625,1.01179941,0.998461538,0.985915493,1.074303406,,
03/04/2002,1.017316745,1.233688107,0.989528796,0.938414229,1.012897062,1.224550306,0.905109489,1.068787441,1.053395062,0.93450714,1.08082484,1.039192399,1.069823712,1.02354399,0.935389295,1.062809917,1.08,1.148514851,1.103843009,0.925714286,1.111420613,0.913265306,0.989012752,1.060220526,1.018587361,1.026315789,1.034680881,1.047885407,1.165604499,1.000597701,1.080183508,1.116427432,1.075362319,0.945945946,1.040945783,1.049982636,0.991253644,1.055469954,1.20952381,0.988472622,,
03/05/2002,1.027598744,0.983495874,0.984126984,1.124789655,0.989860882,0.964326069,0.862903226,1.09895632,1.079402285,1.016837748,1.005921053,1.047238095,0.955088853,0.992937853,1.051694548,1.022550544,1.251851852,1.232758621,1.102222222,1.061728395,1.072681704,0.810055866,1.060736296,0.9504,0.895985401,0.985507246,0.93854954,0.900274025,0.929991928,1.002992464,0.994027861,0.978571429,0.935309973,1,1.064602008,1.113550784,1.088235294,1.020437956,0.984251969,1.052478134,,
03/06/2002,1.046317144,0.908085431,1.069892473,0.97992126,0.974511672,1.013223971,1.085046729,0.950228632,1.010450597,0.917221616,1.00087203,0.952164423,1.134979702,0.943507417,0.953392997,0.80608365,0.952662722,0.951048951,0.903897849,0.941860465,0.976635514,1.110344828,0.984710649,0.984848485,1.141547862,1.011312217,0.93452169,1.015394901,1.008486857,0.993440229,0.979398627,1.042335766,0.971181556,0.94047619,1.013191704,0.934219846,0.937837838,0.937052933,0.86,0.986149584,,
03/07/2002,0.960036889,1.086098278,1.08040201,1.013258337,0.766071865,0.949611763,0.930232558,1.047751249,0.924110141,1.039053486,0.930080592,0.962750716,0.925633383,0.930002154,0.842218108,0.715566038,0.838509317,0.963235294,0.988847584,0.87654321,0.681818182,0.950310559,0.90796522,0.91025641,0.842105263,0.881431767,0.783441948,0.846964236,0.862420655,1.039915379,0.829096567,0.87394958,0.940652819,1,0.929692276,0.929563686,0.974063401,1.209160305,1.246511628,1.210674157,,
03/08/2002,0.978065962,0.994199536,1.125581395,0.950594766,0.8232291,0.49756437,0.764814815,0.88500265,0.923110465,0.942767328,0.943091335,0.92797619,0.819352761,0.856878184,0.807920633,0.457481872,0.977777778,0.916030534,0.860902256,0.823943662,1.098245614,0.888888889,0.922064042,0.892018779,0.809322034,0.97715736,0.715445375,0.801432079,0.733984765,0.875975588,0.897252979,0.836538462,0.917981073,1,0.95517317,0.89394338,0.99408284,0.940656566,0.98880597,0.918793503,,
03/09/2002,1.027827795,1.033061066,1.066115702,1.001334779,0.97248062,1.169230769,1.037530266,0.996407186,1.056998898,1.019027599,1.041221753,0.969211033,0.927687168,1.007027027,0.962115646,1.309798271,0.803030303,1.066666667,1.08209607,1.085470085,1.127795527,0.970588235,0.932863501,0.985263158,0.988219895,0.937662338,0.921596124,0.98057385,1.196531507,0.972571577,0.944156703,0.959770115,0.965635739,1,1.014674571,0.936457015,0.988095238,1.036241611,1.116981132,0.997474747,,
03/10/2002,1.029144768,1.07003012,0.937984496,0.958260435,1.017935432,0.969796651,0.95915986,1.014022436,0.890808878,0.797272064,1.006916289,1.056254136,0.849819953,0.939345142,1.086217336,0.99779978,0.905660377,0.9609375,1.000807103,0.803149606,0.815864023,0.962121212,1.002485089,0.922008547,0.905960265,0.932963989,0.715165768,0.778512483,0.741546055,1.001522496,0.892687236,1.003992016,1.081850534,1,0.91906868,0.84524483,0.984939759,0.972797927,0.912162162,0.916455696,,
03/11/2002,0.986381925,0.89338494,0.983471074,1.113284646,1.143696163,0.96515572,1.167883212,0.925128408,1.174916388,1.062453996,1.070582662,1.047410192,1.10892323,1.186,1.064374529,1.190738699,0.989583333,1.040650407,1.017741935,1.176470588,1.166666667,1.062992126,0.975260288,0.968713789,1.058479532,1.073337292,1.206888548,1.415214847,1.195441908,0.965753692,1.280123089,1.059642147,1.023026316,0.962025316,1.07862465,1.102773853,1.024464832,0.99334221,0.903703704,0.964088398,,
03/12/2002,1.00235331,1.029145333,0.974789916,1.001171417,0.926737419,1.086261981,1.179166667,0.958787102,0.986336465,0.987403691,0.98119469,1.024327019,1.100921555,1.013731631,1.088665524,0.95462963,1.147368421,0.984375,1.022187005,1.116666667,0.982142857,0.962962963,1.007625438,0.994019139,1.140883978,0.932226833,1.066671653,1.02686546,1.130789084,1.019699645,0.991046158,1.031894934,1.051446945,1.052631579,1.072880754,1.121350057,1.029850746,0.957104558,0.946721311,0.888252149,,
03/01/2003,1.085459383,1.230386529,0.99137931,0.984945398,0.983007019,0.933823529,1.041519435,0.996436526,1.013564214,1.031892501,1.059075536,1.049834534,0.857901184,1.046102662,0.936354443,1.119301649,1.04587156,1.015873016,0.979844961,1.119402985,0.990909091,1.1,0.969779527,1.027677497,1.002421308,0.893175074,0.867859325,0.877263628,0.921924448,0.992275012,0.903921247,0.901818182,0.975535168,0.9975,0.953807622,0.913431759,0.976811594,0.941176471,0.909090909,0.893548387,,
03/02/2003,1.064023071,0.954587869,1.013043478,0.989862992,0.983840661,1.002204724,0.786259542,0.897407242,0.997010251,0.962582161,0.904832872,0.95123308,0.954545455,0.879600182,1.00518413,0.960138648,1.070175439,0.953125,0.967563291,1.053333333,0.972477064,0.909090909,0.892206846,0.921545667,0.851449275,0.920265781,0.759259473,0.853193443,0.842658685,0.905760729,0.969041043,0.967741935,0.926332288,0.959899749,0.937314209,0.966818092,0.985163205,1.105654762,1.114285714,1.14801444,,
